		23	0.02545	indecipherable today home crossed horses usual bed january monday cairo friday tuesday thursday april mail february letters wednesday tomorrow day 
Personal	Family & memories	65	0.025	p.m sister sisters miss nice mrs duty i'm love home a.m time happy hope lovely day tea poor matron afternoon 
Tourist	Drinking	41	0.02435	beer canteen bought money bottle wine drink french sold photos buy cost price francs bottles pay paid films glass coffee 
Travelling	UK & France	28	0.02217	camp salisbury leave france weymouth left england london hut back draft arrived hill boat train miles training sutton plymouth days 
Military life?	Egipt & Turquey	47	0.02133	hospital alexandria cairo left lemnos egypt arrived troops island camp april wounded heliopolis to-day aust gallipoli ship back anzac base 
Personal	Religion	82	0.02129	church service sunday parade morning held chaplain padre sermon attended afternoon communion services y.m.c.a evening address rev holy present gave 
Military life	General?	35	0.02073	sydney australia battalion served pte mrs embarked nsw private australian lieutenant gallipoli field hmat returned service enlisted france october father 
		72	0.01979	generally make feel things long interesting find makes pass talk return thing takes mind times case word past trouble matters 
Tourist	Egipt	11	0.01974	cairo nile pyramids egypt egyptian heliopolis desert mosque camp gardens mena native sphinx tram natives pyramid citadel hotel city donkeys 
War	Context	50	0.01952	war german germany australia government military british terms minister sir peace conscription vote general president country britain forces governor states 
		19	0.01947	canal camp cairo suez left col fuller desert arrived major kantara brigade march men train february officers sand port returned 
Military life?	Camp & horses?	67	0.01819	html fine morning afternoon day cleaning harness round evening horses stables friday back paddock saturday night thursday warm tuesday december 
Personal	Letters & family	49	0.01811	home mum dad wrote letter ellis write letters mrs george recd meet day indecipherable lovely play auntie walk bed night 
Military life?	Camp & horses?	96	0.01789	horses bty battery horse lines wagon night line p.m fine a.m day men sgt today guns gun weather morning evening 
Military life	Training & weapons	12	0.01778	school gun training rifle drill work practice range today bayonet instruction coy musketry shooting afternoon lecture class lewis machine parade 
Tourist	France	22	0.01727	paris hotel french place rue dinner cafe visit opera indecipherable walked find club people english round city met tram girls 
Travelling	Railway & roads	7	0.01653	train engine line railway large trucks arrived left back run station boys depot number engines made yard started road trains 
War	Cementery	37	0.01641	graves dead war grave buried crosses battle cemetery land soldiers html cross death fought lie god broken peace bones soldier 
		43	0.01488	house room back engine home html park load farm made french broken fire door fritz apl supplies left wood oil 
		17	0.0146	envelope mrs active justice service reverse post south field walesaustralia censor card addressed australia n.s.w signed postcard image fergusonsupreme shows 
		52	0.0137	good letter p.m letters girls day hope night morning nash hospital dear kitty a.m sydney australia joseph mrs colonel egypt 
		83	0.01359	sydney german island rabaul ship emden men wireless board officers naval native germans islands captain guinea left suva sept fleet 
War	Combat	92	0.01257	gas helmets helmet trenches alarm billets june bombardment masks shells attack tear heavy steel armentieres france issued trench box mask 
		2	0.01193	aug wed sat mon tues sun fri jan letter nov mar sept dec june feb mother thur july thurs oct 
		25	0.01138	turned p.m a.m breakfast till tea dinner fed rested fell camels cleaned camp returned guard day stand saddled hot watered 
Military life	Communications	16	0.01123	stop division anzac landing turks telegraph position troops bay army ashmead attack positions suvla turkish august baba gallipoli report enemy's 
War	Prisoners	94	0.01057	german prisoners camp today received food english germans officers dated germany parcels room cross red escape prisoner french tonight bridge 
		84	0.01005	signal time date naval flag wireless message berrima ship brigadier station received herbertshohe despatch messages receiving beresford telephone transmitting troops 
		89	0.00886	november mrs december rup met friday thursday october tuesday hotel london monday wednesday saturday lunch afternoon evening home miss club 
Military life	navy	81	0.0088	sea ship ships fleet arrived anchored proceeded german p.m aug squadron admiral harbour convoy a.m anchor weather cruiser left firing 
Personal	Poetry?? CHECK	85	0.00712	book tonight today books read mail night yesterday reading back morning full poems boche early day half indecipherable long frank 
		64	0.00692	oct nov gen office left indecipherable afternoon col tidworth troops morning visited wednesday called sunday thursday tuesday pencil monday saturday 
		70	0.00653	wher camp internees wich internee hawe pris military day soldiers comandant compound owing issued made australia guard police charge recieved 
		87	0.00645	day night quiet fine letter rec sun wed tues mon posted html sat indecipherable writing letters fri amy heavy arr 
		79	0.00634	south wales transcribed library state spelt misspelt transcriber's possibly judy gimbert john peter smith ditto mayo betty lynne adrian bicknell 
War	Air force	33	0.00536	lieut enemy squadron bde machines air report pilot machine aerodrome flying capt observer reconnaissance reported a.f.c area pilots m.c wadi 
		1	0.00508	hun food huns men parcels russian russians misery awful received whilst english prisoners control reliable promptly british caused bread french 
Personal	Food	77	0.00439	men rations baked n.c.o's unit hospital n.c.os man temp leave bakery n.c.o.'s strength rejoined o/r flour ovens bakeries dough personnel 
CHECK	songs?	63	0.00438	yer we're song puff voice we'll sing there's love don't tommy we've i'll it's you're blokes html snake you'll that's 
Personal	In French	51	0.00402	les des pour bon vous nous c'est tres pas qui guerre est monsieur agrave par une dans france tout sont 
		31	0.00312	miss mrs indecipherable hill rita coy r.n r.a.n c/o king grafton j.t batt john health nurse tindale baby trained testimonials 
War	Context	68	0.00107	page kms miles france east south west north belgium called village resting harvey flanders german centre battle coast tel australian 
